#obj1,#obj2,#obj3,#con1,#con2,#var1,#var2,#Gen,#Eval
0.04,-0.67435193,0.00727323,0.01,0.29272677,0.484863923782261,0.0930413903039404,119,18132
0.04,-0.9182108,0.01640357,0.01,0.28359643,0.485050386313895,0.0930780642532322,124,18929
0.04,-0.92170852,0.01903194,0.01,0.28096806,0.485050218807926,0.0930825408804659,128,19524
0.04,-0.92582273,0.02209847,0.01,0.27790153,0.485050585533389,0.0930875415541502,133,20236
0.04,-0.92027462,0.0179586,0.01,0.2820414,0.485050266325898,0.0930807188600616,136,20795
0.04,-0.91202211,0.01188383,0.01,0.28811617,0.485050617107315,0.093070303150716,137,20865
0.04,-0.92440355,0.02107916,0.01,0.27892084,0.48505062796405,0.093085783539908,137,20887
0.04,-0.90903437,0.00971496,0.01,0.29028504,0.485049780265439,0.093066972791098,141,21554
0.04,-0.93182254,0.02658222,0.01,0.27341778,0.485049987044502,0.0930953278791223,142,21708
0.04,-0.90879732,0.00949279,0.01,0.29050721,0.48505061923628,0.0930662730675482,143,21770
0.04,-0.90679914,0.00794188,0.01,0.29205812,0.485050358538514,0.0930638174368096,144,21908
0.04,-0.93299556,0.02778151,0.01,0.27221849,0.485051261301236,0.0930966352754041,144,21990
0.04,-0.90743226,0.00851459,0.01,0.29148541,0.485049839076657,0.0930649334806609,145,22087
0.04,-0.91394818,0.01324,0.01,0.28676,0.485050390259636,0.0930727336293554,145,22101
0.04,-0.90679914,0.00794188,0.01,0.29205812,0.485050358538514,0.0930638174368096,146,22212
0.04,-0.93310642,0.02784001,0.01,0.27215999,0.48505004445452,0.0930971985559014,146,22331
0.04,-0.90903127,0.00958336,0.01,0.29041664,0.485050514653971,0.0930665263167471,147,22378
0.04,-0.93178868,0.02656015,0.01,0.27343985,0.485049971729752,0.0930952951522779,147,22474
0.04,-0.93182254,0.02658222,0.01,0.27341778,0.485049987044502,0.0930953278791223,147,22479
0.04,-0.92078769,0.01830737,0.01,0.28169263,0.485050427435943,0.0930812595077422,148,22583
