#obj1,#obj2,#obj3,#con1,#con2,#var1,#var2,#Gen,#Eval
0.04333333,-0.63131237,0.01548421,0.00666667,0.28451579,0.909969184471933,0.00527729602328523,776,118599
0.04333333,-0.63330328,0.01676391,0.00666667,0.28323609,0.909969605509498,0.00527323011377404,776,118602
0.04333333,-0.6323005,0.01612302,0.00666667,0.28387698,0.909969370162195,0.00527528265787388,781,119351
0.04333333,-0.63349241,0.01691725,0.00666667,0.28308275,0.909969443156347,0.00527288430869294,785,119958
0.04333333,-0.62675488,0.01262022,0.00666667,0.28737978,0.909967803798172,0.00528668679210333,786,120107
0.04333333,-0.630983,0.01519753,0.00666667,0.28480247,0.909969682602182,0.00527783722324777,787,120263
0.04333333,-0.63041812,0.01490381,0.00666667,0.28509619,0.909969031150621,0.00527911507666744,787,120267
0.04333333,-0.63659877,0.01898827,0.00666667,0.28101173,0.909969626285412,0.0052666351741375,787,120272
0.04333333,-0.63529521,0.01812691,0.00666667,0.28187309,0.909969500312505,0.00526926735643213,787,120283
0.04333333,-0.63659877,0.01898827,0.00666667,0.28101173,0.909969626285412,0.0052666351741375,788,120418
0.04333333,-0.62443161,0.01180552,0.00666667,0.28819448,0.909962988002339,0.0052922963714389,788,120427
0.04333333,-0.630086,0.01475873,0.00666667,0.28524127,0.909968525014249,0.00527988054865898,788,120438
0.04333333,-0.63369584,0.01704432,0.00666667,0.28295568,0.909969509572108,0.0052724642279054,789,120568
0.04333333,-0.63041812,0.01490381,0.00666667,0.28509619,0.909969031150621,0.00527911507666744,789,120590
0.04333333,-0.63529521,0.01812691,0.00666667,0.28187309,0.909969500312505,0.00526926735643213,790,120720
0.04333333,-0.63323778,0.0167297,0.00666667,0.2832703,0.909969541572052,0.00527337380932777,790,120726
0.04333333,-0.63496846,0.01790113,0.00666667,0.28209887,0.909969694732355,0.00526984953841363,790,120729
0.04333333,-0.63534594,0.01814658,0.00666667,0.28185342,0.909969593346114,0.00526914734494908,790,120740
0.04333333,-0.63508636,0.01798047,0.00666667,0.28201953,0.909969533675534,0.00526967844141959,790,120745
0.04333333,-0.6322161,0.01603676,0.00666667,0.28396324,0.909969556389937,0.00527541415918412,791,120882
0.04333333,-0.63145542,0.01558512,0.00666667,0.28441488,0.90996976895713,0.00527677143551335,791,120889
0.04333333,-0.63437235,0.01749753,0.00666667,0.28250247,0.909969535685486,0.00527110596030332,791,120891
0.04333333,-0.63395911,0.01721321,0.00666667,0.28278679,0.909969567560306,0.00527192599823759,792,121031
0.04333333,-0.63199621,0.01589385,0.00666667,0.28410615,0.909969519665207,0.00527586135869117,793,121178
0.04333333,-0.63253313,0.01624984,0.00666667,0.28375016,0.909969564024706,0.00527477864512056,793,121179
0.04333333,-0.63233805,0.01615071,0.00666667,0.28384929,0.909969355508536,0.00527521044925588,793,121185
0.04333333,-0.63232768,0.01613603,0.00666667,0.28386397,0.909969404188967,0.00527522154047735,793,121192
0.04333333,-0.63450247,0.01758856,0.00666667,0.28241144,0.909969516189972,0.00527084959808894,793,121194
0.04333333,-0.63636106,0.01882202,0.00666667,0.28117798,0.909969661892547,0.00526710340103074,793,121195
0.04333333,-0.63061267,0.01503355,0.00666667,0.28496645,0.909969042362403,0.00527872377409652,794,121346
0.04333333,-0.6346724,0.01769483,0.00666667,0.28230517,0.909969570817257,0.00527049888415048,794,121349
0.04333333,-0.63659877,0.01898827,0.00666667,0.28101173,0.909969626285412,0.0052666351741375,794,121353
0.04333333,-0.63504124,0.01794239,0.00666667,0.28205761,0.909969581963754,0.00526975904365067,795,121485
0.04333333,-0.63447034,0.0175451,0.00666667,0.2824549,0.909969654755504,0.00527088613664586,795,121490
0.04333333,-0.63617033,0.01870869,0.00666667,0.28129131,0.909969688591596,0.00526745448833522,795,121491
0.04333333,-0.6363734,0.01882979,0.00666667,0.28117021,0.909969668116962,0.00526707698887855,795,121492
0.04333333,-0.63659877,0.01898827,0.00666667,0.28101173,0.909969626285412,0.0052666351741375,795,121496
0.04333333,-0.6342895,0.01744776,0.00666667,0.28255224,0.909969496031219,0.00527127955405942,795,121497
0.04333333,-0.63339394,0.0168447,0.00666667,0.2831553,0.909969481379909,0.00527307356321597,795,121509
